"Market order: O00001, 09:30:01, BUY, 900"
"Market order: O00002, 09:30:05, SELL, 700"
"Add limit order: O00003, 09:30:06, SELL, 200, $ 37.3"
"Add limit order: O00004, 09:30:07, BUY, 200, $ 25.79"
"Add limit order: O00005, 09:30:10, SELL, 200, $ 42.47"
"Market order: O00006, 09:30:12, BUY, 100"
"Add limit order: O00007, 09:30:13, SELL, 100, $ 42.72"
"Add limit order: O00008, 09:30:15, SELL, 400, $ 37.36"
"Add limit order: O00009, 09:30:16, SELL, 500, $ 38.62"
"Add limit order: O00010, 09:30:19, SELL, 300, $ 43.17"
"Add limit order: O00011, 09:30:20, BUY, 500, $ 31.24"
"Add limit order: O00012, 09:30:21, BUY, 300, $ 27.31"
"Market order: O00013, 09:30:23, SELL, 300"
"Market order: O00014, 09:30:26, SELL, 100"
"Market order: O00015, 09:30:28, BUY, 700"
"Cancel: O00010, 09:30:19, SELL, 300, $ 43.17"
"Add limit order: O00016, 09:30:32, SELL, 100, $ 43.96"
"Add limit order: O00017, 09:30:33, SELL, 600, $ 42.78"
"Add limit order: O00018, 09:30:36, BUY, 600, $ 25.82"
"Add limit order: O00019, 09:30:37, BUY, 600, $ 28.69"
"Add limit order: O00020, 09:30:38, SELL, 500, $ 38.45"
"Market order: O00021, 09:30:39, SELL, 400"
"Market order: O00022, 09:30:41, BUY, 300"
"Add limit order: O00023, 09:30:42, BUY, 300, $ 28.17"
"Add limit order: O00024, 09:30:43, BUY, 300, $ 30.78"
"Market order: O00025, 09:30:45, BUY, 400"
"Add limit order: O00026, 09:30:46, BUY, 400, $ 30.67"
"Market order: O00027, 09:30:47, SELL, 200"
"Market order: O00028, 09:30:48, SELL, 300"
"Add limit order: O00029, 09:30:49, BUY, 200, $ 27.3"
"Market order: O00030, 09:30:50, BUY, 100"
"Add limit order: O00031, 09:30:51, SELL, 700, $ 42.9"
"Add limit order: O00032, 09:30:53, BUY, 800, $ 30.47"
"Add limit order: O00033, 09:30:54, BUY, 700, $ 32.05"
"Cancel: O00010, 09:30:19, SELL, 300, $ 43.17"
"Add limit order: O00034, 09:30:56, SELL, 500, $ 36.28"
"Market order: O00035, 09:30:57, SELL, 600"
"Add limit order: O00036, 09:30:58, BUY, 300, $ 25.51"
"Market order: O00037, 09:30:59, SELL, 500"
"Add limit order: O00038, 09:31:01, BUY, 100, $ 26.39"
"Cancel: O00038, 09:31:01, BUY, 100, $ 26.39"
"Market order: O00039, 09:31:03, SELL, 300"
"Add limit order: O00040, 09:31:04, BUY, 400, $ 28.94"
"Market order: O00041, 09:31:05, BUY, 200"
"Market order: O00042, 09:31:07, BUY, 100"
"Market order: O00043, 09:31:13, BUY, 700"
"Market order: O00044, 09:31:16, BUY, 500"
"Market order: O00045, 09:31:17, BUY, 100"
"Add limit order: O00046, 09:31:18, BUY, 100, $ 28.82"
"Market order: O00047, 09:31:19, SELL, 400"
"Add limit order: O00048, 09:31:20, SELL, 100, $ 41.91"
"Add limit order: O00049, 09:31:23, BUY, 200, $ 33.0"
"Market order: O00050, 09:31:24, SELL, 700"
"Market order: O00051, 09:31:27, SELL, 700"
"Add limit order: O00052, 09:31:29, BUY, 500, $ 25.6"
"Add limit order: O00053, 09:31:31, SELL, 500, $ 44.61"
"Add limit order: O00054, 09:31:32, BUY, 500, $ 29.84"
