"Market order: O00001, 09:30:00, BUY, 100"
"Add limit order: O00002, 09:30:02, BUY, 400, $ 27.84"
"Add limit order: O00003, 09:30:03, SELL, 200, $ 44.03"
"Add limit order: O00004, 09:30:04, BUY, 300, $ 31.23"
"Add limit order: O00005, 09:30:07, SELL, 700, $ 40.55"
"Add limit order: O00006, 09:30:08, SELL, 400, $ 42.14"
"Cancel: O00002, 09:30:02, BUY, 400, $ 27.84"
"Add limit order: O00007, 09:30:12, BUY, 800, $ 28.26"
"Add limit order: O00008, 09:30:13, BUY, 700, $ 33.46"
"Add limit order: O00009, 09:30:14, BUY, 300, $ 25.72"
"Market order: O00010, 09:30:15, BUY, 100"
"Add limit order: O00011, 09:30:16, BUY, 800, $ 28.01"
"Market order: O00012, 09:30:17, BUY, 100"
"Cancel: O00003, 09:30:03, SELL, 200, $ 44.03"
"Add limit order: O00013, 09:30:24, SELL, 800, $ 41.44"
"Add limit order: O00014, 09:30:25, SELL, 200, $ 35.44"
"Market order: O00015, 09:30:26, BUY, 500"
"Add limit order: O00016, 09:30:27, BUY, 400, $ 28.89"
"Market order: O00017, 09:30:28, BUY, 700"
"Add limit order: O00018, 09:30:30, SELL, 500, $ 42.64"
"Market order: O00019, 09:30:31, SELL, 400"
"Market order: O00020, 09:30:35, SELL, 100"
"Market order: O00021, 09:30:36, BUY, 400"
"Cancel: O00003, 09:30:03, SELL, 200, $ 44.03"
"Market order: O00022, 09:30:40, BUY, 200"
"Market order: O00023, 09:30:42, BUY, 200"
"Market order: O00024, 09:30:43, SELL, 500"
"Add limit order: O00025, 09:30:45, SELL, 400, $ 41.07"
"Market order: O00026, 09:30:47, BUY, 100"
"Add limit order: O00027, 09:30:50, BUY, 200, $ 27.59"
"Add limit order: O00028, 09:30:51, BUY, 200, $ 27.73"
"Add limit order: O00029, 09:30:55, BUY, 300, $ 25.61"
"Market order: O00030, 09:30:56, SELL, 100"
"Add limit order: O00031, 09:30:58, BUY, 400, $ 28.68"
"Add limit order: O00032, 09:31:00, SELL, 700, $ 37.07"
"Add limit order: O00033, 09:31:01, SELL, 400, $ 37.89"
"Market order: O00034, 09:31:04, SELL, 600"
"Add limit order: O00035, 09:31:05, SELL, 200, $ 39.53"
"Cancel: O00028, 09:30:51, BUY, 200, $ 27.73"
"Add limit order: O00036, 09:31:08, BUY, 600, $ 33.07"
"Market order: O00037, 09:31:10, BUY, 300"
"Market order: O00038, 09:31:11, SELL, 200"
"Market order: O00039, 09:31:13, SELL, 300"
"Add limit order: O00040, 09:31:14, SELL, 700, $ 42.46"
"Cancel: O00027, 09:30:50, BUY, 200, $ 27.59"
"Market order: O00041, 09:31:16, SELL, 400"
"Add limit order: O00042, 09:31:17, BUY, 100, $ 31.11"
"Add limit order: O00043, 09:31:20, BUY, 400, $ 29.12"
"Market order: O00044, 09:31:22, BUY, 500"
"Add limit order: O00045, 09:31:26, BUY, 100, $ 27.68"
"Add limit order: O00046, 09:31:27, BUY, 300, $ 29.45"
"Market order: O00047, 09:31:28, SELL, 200"
"Cancel: O00009, 09:30:14, BUY, 300, $ 25.72"
"Add limit order: O00048, 09:31:31, SELL, 200, $ 38.42"
"Market order: O00049, 09:31:33, SELL, 100"
"Add limit order: O00050, 09:31:34, SELL, 400, $ 43.73"
"Market order: O00051, 09:31:35, BUY, 200"
